C,sigma,before_acc,after_acc,avg_acc,1.05 power
10,7.039988712124658,94.67,97.33,96.00,40
10,8.985007793492823,94.67,94.67,94.67,45
10,11.4673997857537,93.33,96.00,94.67,50
10,14.6356309163739,92.00,94.67,93.33,55
10,18.679185894122995,93.33,93.33,93.33,60
10,23.83990055917926,94.67,93.33,94.00,65
10,30.426425535513935,94.67,92.00,93.33,70
10,38.83268592375563,94.67,92.00,93.33,75
10,49.561441066842605,94.67,92.00,93.33,80
10,63.25435344454156,94.67,92.00,93.33,85
10,80.73036504912677,94.67,92.00,93.33,90
10,103.03467644609493,94.67,92.00,93.33,95
10,131.50125784630401,94.67,92.00,93.33,100
50,0.007604489997873477,53.33,34.67,44.00,-100
50,0.009705470376501586,62.67,50.67,56.67,-95
50,0.012386912896918909,62.67,36.00,49.33,-90
50,0.015809188546631072,38.67,36.00,37.33,-85
50,0.02017697586015141,41.33,36.00,38.67,-80
50,0.02575150227731883,44.00,36.00,40.00,-75
50,0.03286616756321879,46.67,36.00,41.33,-70
50,0.0419464836909717,60.00,40.00,50.00,-65
50,0.053535523746494146,60.00,52.00,56.00,-60
50,0.06832640189643142,68.00,58.67,63.33,-55
50,0.08720372697238048,72.00,60.00,66.00,-50
50,0.11129650891613317,80.00,69.33,74.67,-45
50,0.14204568230027764,89.33,81.33,85.33,-40
50,0.181290285352577,90.67,89.33,90.00,-35
50,0.23137744865585788,93.33,92.00,92.67,-30
50,0.29530277169776187,94.67,96.00,95.33,-25
50,0.3768894828730004,94.67,97.33,96.00,-20
50,0.48101709809097004,96.00,97.33,96.67,-15
50,0.6139132535407591,94.67,96.00,95.33,-10
50,0.7835261664684589,94.67,94.67,94.67,-5
50,1.0,97.33,96.00,96.67,0
50,1.2762815625000004,94.67,96.00,95.33,5
50,1.628894626777442,93.33,96.00,94.67,10
50,2.0789281794113688,93.33,96.00,94.67,15
50,2.653297705144422,93.33,96.00,94.67,20
50,3.3863549408993885,93.33,96.00,94.67,25
50,4.321942375150668,93.33,97.33,95.33,30
50,5.5160153675922565,94.67,97.33,96.00,35
50,7.039988712124658,94.67,97.33,96.00,40
50,8.985007793492823,94.67,97.33,96.00,45
50,11.4673997857537,94.67,96.00,95.33,50
50,14.6356309163739,94.67,97.33,96.00,55
50,18.679185894122995,94.67,94.67,94.67,60
50,23.83990055917926,94.67,96.00,95.33,65
50,30.426425535513935,92.00,94.67,93.33,70
50,38.83268592375563,93.33,93.33,93.33,75
50,49.561441066842605,94.67,93.33,94.00,80
50,63.25435344454156,94.67,92.00,93.33,85
50,80.73036504912677,94.67,92.00,93.33,90
50,103.03467644609493,94.67,92.00,93.33,95
50,131.50125784630401,94.67,92.00,93.33,100
100,0.007604489997873477,34.67,34.67,34.67,-100
100,0.009705470376501586,81.33,34.67,58.00,-95
100,0.012386912896918909,62.67,36.00,49.33,-90
100,0.015809188546631072,38.67,36.00,37.33,-85
100,0.02017697586015141,66.67,36.00,51.33,-80
100,0.02575150227731883,48.00,36.00,42.00,-75
100,0.03286616756321879,46.67,36.00,41.33,-70
100,0.0419464836909717,60.00,40.00,50.00,-65
100,0.053535523746494146,60.00,52.00,56.00,-60
100,0.06832640189643142,68.00,58.67,63.33,-55
100,0.08720372697238048,72.00,60.00,66.00,-50
100,0.11129650891613317,80.00,69.33,74.67,-45
100,0.14204568230027764,89.33,81.33,85.33,-40
100,0.181290285352577,90.67,89.33,90.00,-35
100,0.23137744865585788,93.33,92.00,92.67,-30
100,0.29530277169776187,94.67,96.00,95.33,-25
100,0.3768894828730004,94.67,97.33,96.00,-20
100,0.48101709809097004,96.00,97.33,96.67,-15
100,0.6139132535407591,94.67,96.00,95.33,-10
100,0.7835261664684589,94.67,96.00,95.33,-5
100,1.0,97.33,94.67,96.00,0
100,1.2762815625000004,97.33,97.33,97.33,5
100,1.628894626777442,97.33,96.00,96.67,10
100,2.0789281794113688,94.67,96.00,95.33,15
100,2.653297705144422,93.33,96.00,94.67,20
100,3.3863549408993885,93.33,96.00,94.67,25
100,4.321942375150668,93.33,96.00,94.67,30
100,5.5160153675922565,93.33,98.67,96.00,35
100,7.039988712124658,94.67,98.67,96.67,40
100,8.985007793492823,94.67,97.33,96.00,45
100,11.4673997857537,94.67,97.33,96.00,50
100,14.6356309163739,94.67,96.00,95.33,55
100,18.679185894122995,94.67,97.33,96.00,60
100,23.83990055917926,94.67,96.00,95.33,65
100,30.426425535513935,94.67,94.67,94.67,70
100,38.83268592375563,92.00,96.00,94.00,75
100,49.561441066842605,93.33,94.67,94.00,80
100,63.25435344454156,93.33,93.33,93.33,85
100,80.73036504912677,94.67,93.33,94.00,90
100,103.03467644609493,94.67,92.00,93.33,95
100,131.50125784630401,94.67,92.00,93.33,100
500,0.007604489997873477,45.33,36.00,40.67,-100
500,0.009705470376501586,81.33,36.00,58.67,-95
500,0.012386912896918909,62.67,36.00,49.33,-90
500,0.015809188546631072,40.00,36.00,38.00,-85
500,0.02017697586015141,66.67,36.00,51.33,-80
500,0.02575150227731883,44.00,36.00,40.00,-75
500,0.03286616756321879,46.67,36.00,41.33,-70
500,0.0419464836909717,60.00,40.00,50.00,-65
500,0.053535523746494146,60.00,52.00,56.00,-60
500,0.06832640189643142,68.00,58.67,63.33,-55
500,0.08720372697238048,72.00,60.00,66.00,-50
500,0.11129650891613317,80.00,69.33,74.67,-45
500,0.14204568230027764,89.33,81.33,85.33,-40
500,0.181290285352577,90.67,89.33,90.00,-35
500,0.23137744865585788,93.33,92.00,92.67,-30
500,0.29530277169776187,94.67,96.00,95.33,-25
500,0.3768894828730004,94.67,97.33,96.00,-20
500,0.48101709809097004,96.00,97.33,96.67,-15
500,0.6139132535407591,94.67,96.00,95.33,-10
500,0.7835261664684589,94.67,96.00,95.33,-5
500,1.0,97.33,96.00,96.67,0
500,1.2762815625000004,97.33,96.00,96.67,5
500,1.628894626777442,97.33,94.67,96.00,10
500,2.0789281794113688,97.33,97.33,97.33,15
500,2.653297705144422,97.33,96.00,96.67,20
500,3.3863549408993885,97.33,96.00,96.67,25
